Id	Desc	IsClientSkill	LogicFile	LogicParam01	LogicParam02	LogicParam03	LogicParam04	LogicParam05	LogicParam06	LogicParam07	LogicParam08	LogicParam09	LogicParam10	LogicParam11	LogicParam12	LogicParam13	LogicParam14	LogicParam15	LogicParam16	LogicParam17	LogicParam18	LogicParam19	LogicParam20
INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=999999;MAX_RECORD=9999;TableType=Hash;																							
#程序不读 ID	描述	是否是客户端技能（主角技能）	逻辑文件 xml格式	逻辑参数1	逻辑参数2	逻辑参数3	逻辑参数4	逻辑参数5	逻辑参数6	逻辑参数7	逻辑参数8	逻辑参数9	逻辑参数10	逻辑参数11	逻辑参数12	逻辑参数13	逻辑参数14	逻辑参数15	逻辑参数16	逻辑参数17	逻辑参数18	逻辑参数19	逻辑参数20
10	狮鹫普攻正	-1	Skill/Boss_Griffin_attack1.xml	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	狮鹫气旋	-1	Skill/Boss_Griffin_skill1.xml	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	狮鹫电流攻击	-1	Skill/16_boss_dianliu.xml	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	狮鹫声波	-1	Skill/Boss_Griffin_skill3.xml	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
20	精英突刺	-1	Skill/Npc_Lancer_skill1.xml	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
23	狮鹫扑击	-1	Skill/Boss_Griffin_attack6.xml	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
25	狮鹫二连击	-1	Skill/Boss_Griffin_attack7.xml	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
26	精英闪避	-1	Skill/Lancer_skill0.xml	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
30	人马散射	-1	Skill/Npc_Banrenma_attack2.xml	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
31	人马跑动射击	-1	Skill/Npc_Banrenma_skill1.xml	720	1700	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
32	人马俯冲冲撞	-1	Skill/Npc_Banrenma_skill2.xml	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
33	人马灼热之箭	-1	Skill/Npc_Banrenma_skill3.xml	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
37	鸟人风刃	-1	Skill/Npc_Niaoren_skill2.xml	500	1000	305	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
38	鸟人风冲击波	-1	Skill/Npc_Niaoren_skill3.xml	200	400	306	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
39	黑翼龙左爪击	-1	Skill/Boss_Heiyilong_attack1.xml	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
42	黑翼龙火焰横扫1	-1	Skill/Boss_Heiyilong_skill1_1.xml	300	276	1800	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
43	黑翼龙火焰横扫2	-1	Skill/Boss_Heiyilong_skill1_2.xml	300	276	1800	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
44	黑翼龙直线喷火1	-1	Skill/Boss_Heiyilong_skill2_1.xml	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
45	黑翼龙直线喷火2	-1	Skill/Boss_Heiyilong_skill2_2.xml	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
46	黑翼龙龙吼	-1	Skill/Boss_Heiyilong_skill3.xml	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
47	黑翼龙行为眩晕+怒吼+龙车	-1	Skill/Boss_Heiyilong_action_1.xml	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
49	黑翼龙多火球	-1	Skill/Boss_Heiyilong_action_2.xml	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
50	黑翼龙右爪击	-1	Skill/Boss_Heiyilong_attack4.xml	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
51	黑翼龙龙车	-1	Skill/Boss_Heiyilong_skill4.xml	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100	精英散步前	-1	Skill/Lancer_action1.xml	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
101	精英散步后	-1	Skill/Lancer_action2.xml	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
102	精英散步左	-1	Skill/Lancer_action3.xml	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
103	精英散步右	-1	Skill/Lancer_action4.xml	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
31301	刺客xp技能	-1	Skill/Assassin_skillxp.xml	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
50901	野蛮人裂地斩	1	Skill/Barbarian_skill3.xml	455	0	401	150	400	402	100	800	403	338	150	100	-1	-1	-1	-1	-1	-1	-1	-1
51001	野蛮人旋风斩	1	Skill/Barbarian_skill4.xml	1070	51001	51004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
60001	野蛮人套装1	-1	Skill/Barbarian_skill_equip1.xml	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
55	黑龙跳跃	-1	Skill/Boss_Heiyilong_action_6.xml	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
57	黑龙寻找目标	-1	Skill/Boss_Heiyilong_action_7.xml	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
